country_region,国家地区,GDP总量_十亿美元,人口规模_百万人,体育媒体市场规模_十亿美元,历史转播权价格_百万美元,主要竞购方数量,广播商数量,套餐类型,权利结构复杂度,Z_lnGDP,Z_ln人口,Z_ln媒体规模,Z_ln历史价格,Z_竞购方数量,Z_权利复杂度,层级评分S,定量层级,规则修正层级,层级标签
United_States,美国,29180,340.0,30.0,212.5,4,2,2026_single,2.0,2.056431795816661,1.451752794044444,2.059082539595669,1.1115754448217403,1.6274669424134698,0.2672612419124245,1.4289284597674012,5,5,S
Japan,日本,4200,124.0,4.2,200.0,3,1,2026_single,1.5,0.4529246754030263,0.5042990198487066,0.5131946630942169,1.06150668553855,0.5812381937190962,-0.5345224838248487,0.4297734589631246,4,4,A
United_Kingdom,英国,3640,69.1,5.0,100.0,3,1,2026_2030_package,2.0,0.3345469731821384,-0.0449439569712006,0.6502828198296942,0.48904918738935377,0.5812381937190962,0.2672612419124245,0.3795724098435844,4,4,A
Germany,德国,4680,84.6,2.8,96.0,3,2,2026_2030_package、2026_single,3.5,0.5424424949552459,0.14515427709299525,0.19439119617364764,0.45533505349697073,0.5812381937190962,2.672612419124244,0.7651956057603666,5,4,A
South_Korea,韩国,1870,51.7,2.0,90.0,2,1,2026_single,1.5,-0.2164274610476527,-0.31743651672084455,-0.07016551514945124,0.40203387680486147,-0.46499055497527736,-0.5345224838248487,-0.2002514424855355,2,4,A
Brazil,巴西,2170,212.0,1.8,110.0,3,1,2026_single,1.5,-0.0933445475083781,1.0080583435941393,-0.15300691628745844,0.5677641105819401,0.5812381937190962,-0.5345224838248487,0.22936445004574843,3,3,B
Hong_Kong,中国香港,400,7.5,0.5,15.0,2,1,2026_single,1.5,-1.4922099088556022,-2.1308365193663317,-1.160161767994857,-1.0777472891674633,-0.46499055497527736,-0.5345224838248487,-1.1434114206973967,1,2,C
Australia,澳大利亚,1830,27.0,1.2,10.0,1,1,2026_single,1.5,-0.23431427108393496,-0.9276355091137413,-0.47181038320802765,-1.4126134588413939,-1.5112193036696508,-0.5345224838248487,-0.8486859016235995,2,2,C
Vietnam,越南,475,101.0,0.3,8.0,1,1,2026_single,1.5,-1.3500497508615028,0.3115880675918295,-1.5618066360534333,-1.5969036106245509,-1.5112193036696508,-0.5345224838248487,-1.040485619573693,1,1,D
