country_region,国家地区,2026成交价格_百万美元,广播商数量,广播商列表,套餐类型,人口规模_百万人,历史观赛代理值,潜在观众基数,GDP总量_十亿美元,人均GDP_美元,体育媒体市场规模_十亿美元,球迷占比,球迷人数_百万人,足球热度指数,是否参赛,媒体竞购强度,比赛时段友好度,历史转播权价格_百万美元,历史价格对应年份,历史价格是否插补,主要竞购方数量,media_broadcast_market_maturity
United_States,美国,945.0,2,Fox_Sports、Telemundo,2026_single,340.0,23.39,4.316021638708485,29180,85784,30.0,24,62.2,0.4863768910837689,1,4,0.8599999999999999,212.5,2022,0,4,Mature
Japan,日本,200.0,1,NTT_Docomo_DAZN_Dentsu,2026_single,124.0,62.37,4.475782404551192,4200,32513,4.2,42,18.0,0.3914984752287446,1,3,0.22,200.0,2022,0,3,Mature
United_Kingdom,英国,188.69916387545555,1,BBC_ITV,2026_2030_package,69.1,162.8,4.654981480377879,3640,52580,5.0,84,26.1,0.826712208369828,1,2,0.66,100.0,2022,0,3,Mature
Germany,德国,144.69685618587047,2,ARD_ZDF、MagentaTV,2026_2030_package、2026_single,84.6,34.25,3.9814382372782733,4680,54986,2.8,76,29.1,0.7518626408862388,1,3,0.5800000000000001,96.0,2022,0,3,Mature
South_Korea,韩国,125.0,1,JTBC,2026_single,51.7,11.14,3.1460587125127457,1870,36239,2.0,62,17.0,0.43380898235479315,1,1,0.22,90.0,2022,0,2,Mature
Brazil,巴西,110.0,1,Globo_CazeTV,2026_single,212.0,209.9,5.356335835618783,2170,10280,1.8,90,86.4,0.962962962962963,1,3,0.92,110.0,2022,0,3,Growing
Hong_Kong,中国香港,25.0,1,PCCW,2026_single,7.5,1.764,1.4750458046001844,400,54082,0.5,62,4.0,0.14393939393939395,0,1,0.14,15.0,2022,0,2,Mature
Australia,澳大利亚,15.0,1,SBS,2026_single,27.0,3.9589,2.309864141671198,1830,65890,1.2,37,6.1,0.0952702791190409,1,1,0.45999999999999996,10.0,2022,0,1,Mature
Vietnam,越南,15.0,1,VTV,2026_single,101.0,36.975,4.101303859518277,475,4700,0.3,75,75.0,0.4785268926466426,0,1,0.22,8.0,2022,0,1,Emerging
