市场代码,市场,是否参赛,赛程时段因子,主要竞购方数量,广播商数量,内容增量因子,参赛因子,时差原始因子,时差因子,竞购因子,结构因子,动态修正总因子
United_States,美国,1,0.8200000000000001,4,2,1.1852191989807528,1.05,0.8200000000000001,0.946,1.2218070977791826,1.0,1.4384068978995908
Japan,日本,1,0.475,3,1,1.1852191989807528,1.05,0.475,0.8424999999999999,1.1757779661868977,1.0,1.2327732550657555
United_Kingdom,英国,1,0.78,3,1,1.1852191989807528,1.05,0.78,0.9339999999999999,1.1757779661868977,1.0,1.3666590151114728
Germany,德国,1,0.73,3,2,1.1852191989807528,1.05,0.73,0.9189999999999999,1.1757779661868977,1.0,1.3447105298580764
South_Korea,韩国,1,0.475,2,1,1.1852191989807528,1.05,0.475,0.8424999999999999,1.1109035488895913,1.0,1.1647540806280352
Brazil,巴西,1,0.9,3,1,1.1852191989807528,1.05,0.9,0.97,1.1757779661868977,1.0,1.4193353797196235
Hong_Kong,中国香港,0,0.45999999999999996,2,1,1.1852191989807528,0.95,0.45999999999999996,0.838,1.1109035488895913,1.0,1.0481963810518342
Australia,澳大利亚,1,0.48999999999999994,1,1,1.1852191989807528,1.05,0.48999999999999994,0.847,1.0,1.0,1.0540746946135324
Vietnam,越南,0,0.48,1,1,1.1852191989807528,0.95,0.48,0.844,1.0,1.0,0.9503087537427675
