市场代码,市场,历史收视热度,人均GDP,球迷数量,足球热度指数,体育媒体市场规模,历史转播权价格
United_States,美国,0.46247515826541,1.0,0.8866884023779951,0.40290845991776864,1.0,1.0
Japan,日本,0.7003925781274949,0.6659261784220992,0.46661107904531035,0.32877072159577353,0.4370930553025239,0.7680664643596254
United_Kingdom,英国,0.8032269119641292,0.8314470686568033,0.5907241962495952,0.8679983976861269,0.4822121777035861,0.5978933535865572
Germany,德国,0.5542447074061643,0.846853712653122,0.6274209241662502,0.7652555186369578,0.33819808424606673,0.587900949033918
South_Korea,韩国,0.2886332880217374,0.7032850423388505,0.4477134428661454,0.3883393718434936,0.2636656500523242,0.5721118614666171
Brazil,巴西,1.0,0.269457200463793,1.0,1.0,0.2419124742203422,0.6212388259607794
Hong_Kong,中国香港,0.0,0.8411455526266689,0.0,0.23730362490268195,0.04511912240106221,0.14227510477571367
Australia,澳大利亚,0.08626382394847561,0.9091473679761329,0.12256198539119131,0.0,0.16587504436887776,0.04962152138812595
Vietnam,越南,0.6630478838890235,0.0,0.9511502482160815,0.5673890057613848,0.0,0.0
