市场代码,市场,总GDP,人口规模,体育媒体市场规模,历史转播权价格,主要竞购方数量,广播商数量,合同结构,赛程时段因子,结构复杂度,Z_lnGDP,Z_lnPOP,Z_lnMedia,Z_lnHistPrice,Z_Bidder,Z_RightStructure,原始层级评分S,定量层级,规则修正层级,商业化成熟度,修正层级评分S_adj,层级标签
United_States,美国,29180,340.0,30.0,512.5,4,2,2026_single,0.8200000000000001,2.0,2.056431795816661,1.451752794044444,2.059082539595669,1.583845788574708,1.6274669424134698,0.2672612419124245,1.5076401837262292,5,5.0,0.85,,S
Japan,日本,4200,124.0,4.2,200.0,3,1,2026_single,0.475,1.5,0.4529246754030263,0.5042990198487066,0.5131946630942169,0.8836364352551481,0.5812381937190962,-0.5345224838248487,0.40012841724922427,4,4.0,0.85,,A
United_Kingdom,英国,3640,69.1,5.0,100.0,3,1,2026_2030_package,0.78,2.0,0.3345469731821384,-0.0449439569712006,0.6502828198296942,0.36784819956501974,0.5812381937190962,0.2672612419124245,0.3593722452061954,4,4.0,0.85,,A
Germany,德国,4680,84.6,2.8,96.0,3,2,2026_2030_package、2026_single,0.73,3.5,0.5424424949552459,0.14515427709299525,0.19439119617364764,0.33747152759479615,0.5812381937190962,2.672612419124244,0.7455516847766709,5,4.0,0.85,,A
South_Korea,韩国,1870,51.7,2.0,90.0,2,1,2026_single,0.475,1.5,-0.2164274610476527,-0.31743651672084455,-0.07016551514945124,0.28944679217755526,-0.46499055497527736,-0.5345224838248487,-0.21901595659008655,2,4.0,0.85,,A
Brazil,巴西,2170,212.0,1.8,110.0,3,1,2026_single,0.9,1.5,-0.0933445475083781,1.0080583435941393,-0.15300691628745844,0.43877089948117437,0.5812381937190962,-0.5345224838248487,0.20786558152895415,3,3.0,0.6,,B
Hong_Kong,中国香港,400,7.5,0.5,15.0,2,1,2026_single,0.45999999999999996,1.5,-1.4922099088556022,-2.1308365193663317,-1.160161767994857,-1.0438464553945537,-0.46499055497527736,-0.5345224838248487,-1.137761281735245,1,2.0,0.85,,C
Australia,澳大利亚,1830,27.0,1.2,10.0,1,1,2026_single,0.48999999999999994,1.5,-0.23431427108393496,-0.9276355091137413,-0.47181038320802765,-1.3455632315864046,-1.5112193036696508,-0.5345224838248487,-0.837510863747768,2,2.0,0.85,,C
Vietnam,越南,475,101.0,0.3,8.0,1,1,2026_single,0.48,1.5,-1.3500497508615028,0.3115880675918295,-1.5618066360534333,-1.5116099556674418,-1.5112193036696508,-0.5345224838248487,-1.0262700104141746,1,1.0,0.35,,D
China,中国内地,18270,1419.0,4.0,150.0,2,1,2026_single,0.45999999999999996,1.5,1.669102260216322,2.793811136519434,0.4748326112732516,0.6695649757568702,-0.46499055497527736,-0.5345224838248487,0.7679663241609586,5,4.0,0.6,0.5099663241609584,A
